Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
950603290,2020-04-14T03:16:48.5974425,,Photos,Camilla Engevik,KlippekortiStock,,Elementary school boy holding books,Middle eastern boy holding a stack of books against multi colored bookshelf in library. Portrait of happy arab schoolboy with bagpack holding a heap of books at school. Happy young indian child holding books.,iStock,iStockphoto,6144 x 4080 px (52.02 x 34.54 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
137842015,2020-04-14T03:16:48.5941618,,Photos,Camilla Engevik,KlippekortiStock,,A solitude clownfish swimming in the ocean,A clownfish (Amphiprion Ocellaris).,iStock,iStockphoto,2722 x 1945 px (23.05 x 16.47 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
166439300,2020-04-14T03:16:48.591785,,Photos,Camilla Engevik,KlippekortiStock,,1 year old green winged Macaw in flight. Ara Chloropertus,"Green-winged Macaw, Ara chloropterus, 1 year old, flying in front of white background",iStock,iStockphoto,3539 x 4552 px (29.96 x 38.54 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
93215679,2020-04-14T03:16:48.5894,,Photos,Camilla Engevik,KlippekortiStock,,Crossbreed Siberian and persian cat,"",iStock,iStockphoto,3307 x 3307 px (28.00 x 28.00 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
173557913,2020-04-14T03:16:48.586883,,Photos,Camilla Engevik,KlippekortiStock,,OBJECTS 11,Loch Ness Monster sighting!! The water is from one of my other images. Added noise and blur to make it look like the famous old hoax picture.,E+,E Plus,2200 x 1800 px (18.63 x 15.24 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1134313786,2020-04-14T03:16:48.5840462,,Photos,Camilla Engevik,KlippekortiStock,,Yeti,"On a cold plain backed by jagged mountains a shaggy white beast trudges through the snow.  Covered in long white hair and walking upright, this is the yeti, the abominable snowman. 3D Rendering",iStock,iStockphoto,5200 x 3467 px (44.03 x 29.35 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
838938056,2020-04-14T03:16:48.5817163,,Photos,Camilla Engevik,KlippekortiStock,,Mars Rover exploring on the planet surface,Mars Rover exploring on the planet surface.,iStock,iStockphoto,3600 x 2025 px (30.48 x 17.14 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
117318004,2020-04-14T03:16:48.5793293,,Photos,Camilla Engevik,KlippekortiStock,,Wooden Spoon,A wooden cooking spoon isolated on white,iStock,iStockphoto,4288 x 2848 px (36.31 x 24.11 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
115923603,2020-04-14T03:16:48.5769787,,Photos,Camilla Engevik,KlippekortiStock,,Five colorful jelly babies on a white background,Jelly Babies in a row,E+,E Plus,4415 x 2982 px (37.38 x 25.25 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
516147040,2020-04-14T03:16:48.5746794,,Photos,Camilla Engevik,KlippekortiStock,,Game time!,Brother and sister sitting on bed and playing Patty-cake. They are wearing pajamas. They are smiling and having fun.,iStock,iStockphoto,6820 x 4552 px (57.74 x 38.54 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
859747014,2020-04-14T03:16:48.572238,,Photos,Camilla Engevik,KlippekortiStock,,funny carrots on white background,closeup of funny carrots on white background,iStock,iStockphoto,3613 x 2400 px (30.59 x 20.32 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
